"플랫폼","프로모션명","할인코드","할인율/할인금액","최소구매금액","유효기간(사용가능기간)","사용조건 및 유의사항","URL"
"다이슨 공식몰","새해복 혜택 - 에어랩 코안다2x & 슈퍼소닉 뉴럴","NEWYEARBOK","10% 추가 할인","해당 제품 구매","2025년 2월 9일-22일","적용 제품: NEW 다이슨 에어랩 코안다2x 멀티 스타일러 앤 드라이어 (세라믹 핑크/로즈 골드), (재스퍼 플럼), 다이슨 슈퍼소닉 뉴럴 헤어드라이어. 장바구니에서 쿠폰 적용. 다른 할인과 중복 불가할 수 있음.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","새해복 혜택 - 에어랩 코안다2x 앰버실크/샴페인핑크","NEWYEARBOK2","100,000원 할인","해당 제품 구매","2025년 2월 9일-22일","적용 제품: NEW 에어랩 코안다2x 멀티 스타일러 앤 드라이어 (앰버 실크/샴페인 핑크). 장바구니에서 쿠폰 적용. 다른 할인과 중복 불가할 수 있음.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 즉시 할인 (5%)","없음","5% 즉시 할인","해당 제품 단품 구매","2025년 1월 31일 - 2월 28일","대상 카드: 하나(하나BC카드 제외), 삼성, 롯데 카드. 적용 제품: V12s 디텍트 슬림 서브마린 시리즈, V15 오리진 플러피, V16 피스톤 애니멀 시리즈, 에어랩 i.d. 멀티 스타일러, 빅+콰이엇 포름알데히드 공기청정기, 핫앤쿨/가습 공기청정기 시리즈. 예산 소진 시 조기 종료. 단품 구매 시에만 적용.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 즉시 할인 (10%)","없음","10% 즉시 할인","해당 제품 단품 구매","2025년 1월 31일 - 2월 28일","대상 카드: 하나(하나BC카드 제외), 삼성, 롯데 카드. 적용 제품: 다이슨 에어랩 오리진 멀티 스타일러 앤 드라이어(니켈/코퍼), 다이슨 디지털 슬림 서브마린. 예산 소진 시 조기 종료. 단품 구매 시에만 적용.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","롯데카드 캐시백 프로모션","없음","120,000원 캐시백","300,000원 이상 구매","2025년 2월 1일 - 2월 28일","다이슨 공식몰에서 롯데카드로 결제 시. 모바일 링크로 신청 및 이벤트 등록 필수. 이벤트 시작 전 6개월간 롯데 개인신용카드 사용 이력이 없는 고객만 가능. 같은 달 다른 이벤트와 중복 불가. 예산 소진 시 조기 종료.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","삼성카드 포인트 사용","없음","삼성카드 포인트 결제 차감","해당 없음","2025년 1월 31일 - 2월 28일","삼성카드 포인트로 결제 금액 차감 가능. 예산 소진 시 조기 종료.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","현대카드 M포인트 할인","없음","최대 5% M포인트 사용","해당 없음","2025년 1월 31일 - 2월 28일","현대카드 M포인트 최대 5% 사용 가능. 예산 소진 시 조기 종료.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","토스페이 포인트 적립","없음","5% 토스 포인트 적립 (최대 100,000원)","300,000원 이상 계좌이체 결제","2025년 4월 30일 - 5월 30일","계좌이체 결제만 가능. 다른 할인과 중복 불가.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카카오페이 페이포인트 적립","없음","7% 카카오페이 페이포인트 적립 (최대 100,000원)","300,000원 이상 결제","2025년 1월 31일 - 2월 28일","카카오페이로 결제 시. 포인트는 3월 지급. 조건 적용.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","오너 단독 할인 - 허쉬젯 컴팩트 공기청정기","없음","10% 오너 단독 할인","해당 제품 구매","2025년 2월 13일 이후 예약판매","적용 제품: 다이슨 허쉬젯 컴팩트 공기청정기 (블랙/틸), (화이트/실버). 기존 다이슨 제품 소유자 대상 단독 할인.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","네이버페이 포인트 적립 (헤어케어)","없음","최대 30,000~50,000 포인트 적립","해당 제품 구매 후 포토 리뷰 작성","명시되지 않음","적용 제품: NEW 다이슨 에어랩 코안다2x 및 슈퍼소닉 뉴럴 헤어드라이어 제품들. 네이버페이로 결제 후 포토 리뷰 작성 시 포인트 적립.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 무이자 할부 (롯데)","없음","최대 12개월 무이자 할부","250,000원 이상 ~ 3,000,000원 미만 결제","2025년 1월 31일 - 2월 28일","롯데 카드 사용 시. 법인/가족/선불카드 및 간편결제 제외.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 무이자 할부 (현대/하나/삼성)","없음","최대 12개월 무이자 할부","300,000원 이상 ~ 3,000,000원 미만 결제","2025년 1월 31일 - 2월 28일","현대, 하나, 삼성 카드 사용 시. 법인/가족/선불카드 및 간편결제 제외.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","삼성카드 특별 무이자 할부 (로봇청소기)","없음","최대 36개월 무이자 할부","해당 제품 구매","2025년 1월 31일 - 2월 28일","삼성 카드로 다이슨 스팟앤스크럽 Ai 로봇 청소기 구매 시. 법인/가족/선불카드 및 간편결제 제외.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","신한카드 무이자 할부 (에어랩)","없음","최대 12개월 무이자 할부","에어랩 멀티 스타일러 단품 구매","2025년 1월 1일 - 1월 31일","신한 카드로 에어랩 멀티 스타일러 단품 구매 시.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","새해복 라이브 이벤트","라이브 중 공개","새해복 쿠폰 및 사은품 제공","라이브 참여","2025년 2월 19일 (목) 오후 8시","라이브 방송 중 특별 쿠폰 및 사은품 제공. 실시간 참여 필요.","https://www.dyson.co.kr/promotions/deals"

"다이슨 공식몰","새해맞이 공식몰 리뷰 이벤트 - 네이버페이 5만 포인트","이벤트 참여 (포토리뷰 작성)","네이버페이 50,000 포인트 적립","네이버페이 결제 필수","구매기간: 2025년 2월 9일 ~ 2월 28일 / 리뷰작성: 2025년 2월 9일 ~ 3월 18일 / 포인트지급: 2026년 3월 31일","대상제품: 다이슨 스팟앤스크럽 Ai 로봇 청소기, NEW 다이슨 에어랩 코안다 2X 멀티 스타일러 앤 드라이어. 네이버페이로 결제하고 포토 리뷰 작성 필수. 직접 촬영 사진만 인정. 반품 시 참여 불가. 액세서리/리퍼 제품 제외.","https://www.dyson.co.kr/promotions/review"
"다이슨 공식몰","새해맞이 공식몰 리뷰 이벤트 - 네이버페이 3만 포인트","이벤트 참여 (포토리뷰 작성)","네이버페이 30,000 포인트 적립","네이버페이 결제 필수","구매기간: 2025년 2월 9일 ~ 2월 28일 / 리뷰작성: 2025년 2월 9일 ~ 3월 18일 / 포인트지급: 2026년 3월 31일","대상제품: 다이슨 클린앤워시 하이진 물청소기, 다이슨 펜슬백 플러피 콘, 다이슨 슈퍼소닉 뉴럴 헤어드라이어. 네이버페이로 결제하고 포토 리뷰 작성 필수. 직접 촬영 사진만 인정. 반품 시 참여 불가.","https://www.dyson.co.kr/promotions/review"
"다이슨 공식몰","새해맞이 공식몰 리뷰 이벤트 - 액세서리 바우처","이벤트 참여 (포토리뷰 작성)","50,000원 액세서리 바우처","네이버페이 결제 필수","구매기간: 2025년 2월 9일 ~ 2월 28일 / 리뷰작성: 2025년 2월 9일 ~ 3월 18일","모든 참여 제품 대상. 포토 리뷰 작성 시 50,000원 액세서리 바우처 제공. 바우처는 다이슨 공식몰에서 청소기, 공기청정기, 헤드폰, 헤어케어 제품 액세서리 구매 시 사용 가능. 완제품 할인 불가. 유효기간 1년. 현금 교환 및 양도 불가.","https://www.dyson.co.kr/promotions/review"
"다이슨 공식몰","새해맞이 공식몰 리뷰 이벤트 - 우수 리뷰어 추가 바우처","우수 리뷰어 선정 (상위 30명)","50,000원 배터리/필터/액세서리 바우처 (추가)","포토 리뷰 참여자 중 선정","구매기간: 2025년 2월 9일 ~ 2월 28일 / 리뷰작성: 2025년 2월 9일 ~ 3월 18일","포토 리뷰 참여자 중 상위 30명 선정. 다른 이벤트 쿠폰과 중복 지급 불가 (최고 혜택만 적용). 다이슨 공식몰 액세서리 구매 시 사용 가능.","https://www.dyson.co.kr/promotions/review"
"다이슨 코리아","학생 할인 프로그램","대학생 10% 할인 쿠폰","10% 추가 할인","없음","인증 기간: 2025.12.31 ~ 2026.1.29 / 쿠폰 사용 기간: 2025.12.31 ~ 2026.1.29 (1월 29일 마감, 연장 불가)","선착순 3,000명 한정, 1인 1회 / 대학생/대학원생만 참여 가능 (초중고 제외) / 제외 상품: NEW 에어랩 코안다2x, 슈퍼소닉 r 헤어드라이어, V16 피스톤 애니멀, V16 피스톤 애니멀 서브마린, 온트랙 노이즈 캔슬링 헤드폰, 허쉬젯 컴팩트 공기청정기, 스팟앤스크럽 Ai 로봇 청소기, 클린앤워시 하이진 물청소기, 모든 액세서리 / 다이슨 공식 홈페이지(www.dyson.co.kr)에서만 사용 가능 / 다른 쿠폰과 중복 사용 불가 / 결제 취소 시 쿠폰 반환 불가 / 결제 시도 후 쿠폰 복원에 약 2시간 소요 / 학생증 사진 제출하여 인증 후 쿠폰 발급 / 등록한 휴대폰 번호로 익일 영업일에 쿠폰 발송 / 개인정보는 쿠폰 발송 후 폐기","https://www.dyson.co.kr/promotions/student-benefit"

"다이슨","NEW 에어랩 코안다 2x 프로모션 (Live Event 및 쿠폰)","NEWYEARBOK2","100,000원 할인","없음","상시 진행 중 (Live Event: 2025.2.19 8PM)","적용 제품: NEW 다이슨 에어랩 코안다 2x 멀티 스타일러 앤 드라이어 (앰버 실크/샴페인 핑크). 정가 879,000원에서 779,000원으로 할인. 장바구니에서 쿠폰코드 입력 시 적용. 단일 제품 구매에만 적용. 다른 쿠폰과 중복 사용 불가.","https://www.dyson.co.kr/promotions/new-airwrap-2x"
"다이슨","NEW 에어랩 코안다 2x 프로모션 (Live Event 및 쿠폰)","NEWYEARBOK","10% 할인 (약 87,900원)","없음","상시 진행 중 (Live Event: 2025.2.19 8PM)","적용 제품: NEW 다이슨 에어랩 코안다 2x 멀티 스타일러 앤 드라이어 (세라믹 핑크/로즈 골드), (재스퍼 플럼). 정가 879,000원에서 791,100원으로 할인. 장바구니에서 쿠폰코드 입력 시 적용. 단일 제품 구매에만 적용. 다른 쿠폰과 중복 사용 불가.","https://www.dyson.co.kr/promotions/new-airwrap-2x"
"다이슨","기간 한정 새해복 혜택 마지막 라이브","라이브 중 제공","새해복 10% 쿠폰 + 사은품","없음","2025.2.19 (목) 8PM (당일 라이브 방송 중)","라이브 방송 시청 중 새해복 10% 할인 쿠폰과 사은품 제공. 라이브 방송 중에만 제공되는 한정 혜택. 자세한 사용 조건은 라이브 방송에서 안내.","https://www.dyson.co.kr/promotions/new-airwrap-2x"
"다이슨","다이슨 X 네이버페이 포토 리뷰 이벤트 (NEW 에어랩 코안다 2x)","없음","최대 50,000 네이버페이 포인트 적립 + 50,000원 액세서리 바우처","없음","구매: 2025.2.9-2.28 / 리뷰: 2025.2.9-3.18 / 포인트 지급: 2026.3.31","NEW 에어랩 코안다 2x 멀티 스타일러 앤 드라이어 구매 시 네이버페이 포인트 50,000점 적립 + 전원 50,000원 액세서리 바우처 증정. 네이버페이로 결제 후 포토 리뷰 작성 필수. 반품 시 혜택 제외. 자세한 조건은 review 이벤트 페이지 참조.","https://www.dyson.co.kr/promotions/new-airwrap-2x"
